sep=;
Institusjon;Spesifikke retningslinjer for eksternt samarbeid?;Lenkje til dokument/ressurs;Detaljar
AHO (Arkitektur- og designhøgskolen);Nei (Under debatt);https://aho.no/no/om-aho/reglement-og-planer;Berre overordna statlege reglar. Manglar spesifikt rammeverk for omdømmerisiko. Samarbeid med Kongsberg-gruppa (2025) har ført til krav om nye reglar.
KHiO (Kunsthøgskolen i Oslo);Nei;https://khio.no/om-kunsthogskolen-i-oslo/styringsdokumenter-og-reglement;Har berre ein generell "Vær varsom"-plakat. Fokuserer mest på interne relasjonar, manglar retningslinjer for næringslivssamarbeid.
UiO (Universitetet i Oslo);Ja;https://www.uio.no/om/regelverk/etiske-retningslinjer/;Nyleg skjerpa (2024). Brukar aktsomhetsvurderinger (Due Diligence) basert på OECD for alle eksterne partnarar.
UiB (Universitetet i Bergen);Ja;https://www.uib.no/foransatte/81141/etiske-retningslinjer-ansatte-ved-uib;Eigne retningslinjer for leverandørkontakt og etiske anskaffingar.
NTNU;Ja;https://www.ntnu.no/etikkportalen;Særs omfattande system. Inkluderer eksportkontroll, reservasjonsrett for ansatte og etikk i internasjonalt samarbeid.
UiT (Noregs arktiske universitet);Ja;https://uit.no/om/art?p_document_id=344311;Svartelister aktivt selskap (t.d. våpen/miljø) med utgangspunkt i Oljefondet si liste.
NMBU;Ja;https://www.nmbu.no/om/samarbeid/naeringsliv;Har ein eigen «Policy for samarbeid med næringsliv og offentlig sektor» vedteken av universitetsstyret.
OsloMet;Ja;https://ansatt.oslomet.no/sjekkliste-samarbeid-eksterne;Har ein av sektorens mest konkrete sjekklistar for å vurdere risiko ved inngåing av avtalar.
UiS (Universitetet i Stavanger);Ja;https://www.uis.no/nb/om-uis/baerekraft-ved-uis;Policy for berekraftig forretningspraksis og strenge reglar mot korrupsjon i samarbeid.
UiA (Universitetet i Agder);Ja;https://www.uia.no/om-uia/etikk-og-samfunnsansvar;Integrert etikk i all kommunikasjon og samarbeid med eksterne aktørar.
Nord universitet;Ja;https://www.nord.no/om/hms/si-ifra;Eige utval (Committee for Cooperation) som vurderer etikk i arbeidslivssamarbeid.
USN (Univ. i Sørøst-Noreg);Ja;https://www.usn.no/om-usn/kvalitetssystemet/si-ifra/;Konkrete retningslinjer for habilitet og interessekonfliktar ved næringslivssamarbeid.
HINN (Høgskolen i Innlandet);Ja;https://www.inn.no/om-inn/hms/si-ifra/;Følgjer nasjonale linjer og har etablert felles redelighetsutval med USN.
NHH (Norges Handelshøyskole);Ja;https://www.nhh.no/om-nhh/strategi-og-styring/;Dokumentet "Ansvarlig atferd" krev at partnarar forpliktar seg til etiske standardar.
NIH (Norges idrettshøgskole);Ja;https://www.nih.no/om/etikk/;Eige etisk utval som vurderer alle samarbeidsprosjekt utanfor helseforskningsloven.
NMH (Norges musikkhøgskole);Delvis;https://nmh.no/om-nmh/etiske-retningslinjer;Under revisjon (2026). Fokus på profesjonsetikk og lærarrolla i møte med bransjen.
BI (Handelshøyskolen BI);Ja;https://www.bi.no/om-bi/organisasjon/etikk/;Særskilt fokus på transparens i sponsing og næringslivsetikk.
HiMolde;Ja;https://www.himolde.no/om/hms/si-fra/;Krev full åpenheit om alle bierverv knytt til regionalt næringsliv.
VID vitenskapelige høgskole;Ja;https://www.vid.no/om-vid/hms/si-ifra/;Bruker aktive aktsomhetsvurderinger i alle prosjektsamarbeid.
MF vitenskapelig høyskole;Ja;https://www.mf.no/forskning/forskningsetikk;Fokus på uavhengigheit i oppdragsforsking og etisk brukermedvirkning.
HVL (Høgskulen på Vestlandet);Ja;https://www.hvl.no/om/hms/si-ifra/;Eige forskingsetisk utval og seksjon for innovasjon og eksternt samarbeid.
HiØ (Høgskolen i Østfold);Ja;https://www.hiof.no/om/hms/si-ifra/;Redelighetsutval tek stilling til etiske dilemma i eksterne prosjekt.
HVO (Høgskulen i Volda);Ja;https://www.hivolda.no/om-hvo/hms/si-ifra;Eigne etiske retningslinjer for ansatte i møte med eksterne aktørar.
Høyskolen Kristiania;Ja;https://www.kristiania.no/om-kristiania/etikk-og-samfunnsansvar/;Fokus på etisk praksis i bransjesamarbeid og studentpraksis.
LDH (Lovisenberg diakonale);Ja;https://www.ldh.no/om-ldh/kvalitetssystem;Diakonale kjerneverdiar fungerer som etisk filter for alle samarbeidspartnarar.
NLA Høgskolen;Ja;https://www.nla.no/om-nla/organisasjon/etikk/;Val av eksterne partnarar blir styrt av institusjonen sitt verdigrunnlag.
DMMH (Dronning Mauds Minne);Ja;https://dmmh.no/om-dmmh/organisasjon/etikk;Etiske retningslinjer spesifikt retta mot profesjonsutøving og barnehagesamarbeid.
PHS (Politihøgskolen);Ja;https://www.politihogskolen.no/forskning/forskningsetikk/;Underlagt politietaten sine nasjonale reglar for integritet og habilitet.
FHS (Forsvarets høgskole);Ja;https://www.forsvaret.no/forskning/forskningsetikk;Strenge krav til tryggleik og etisk vurdering av all ekstern verksemd.
Sámi allskuvla (Samisk høgskole);Ja;https://samiuniversity.no/nb/forskning/forskningsetikk;Vektlegg urfolksetikk og samiske rettar i alt eksternt samarbeid.
Ansgar høyskole;Ja;https://ansgarhoyskole.no/om-oss/etikk;Bygd på integritet og eige kristent verdigrunnlag i møte med samfunnet.
Fjellhaug Internasjonale;Ja;https://fjellhaug.no/om-fjellhaug/organisasjon;Fokus på etikk i internasjonale bistandsprosjekt og misjonssamarbeid.
Barratt Due musikkinstitutt;Ja (Indirekte);https://www.barrattdue.no/om-oss/styringsdokumenter/;Brukar statlege reglar og fagleg profesjonsetikk som ramme for samarbeid.
Bergen Arkitekthøgskole (BAS);Ja;https://bas.no/om-bas/organisasjon/;Berekraftskriterier fungerer som etisk filter for alle eksterne prosjekt.
Steinerhøyskolen;Ja;https://steinerhoyskolen.no/om-oss/kvalitetssystem/;Verdigrunnlaget styrer val av samarbeidspartnarar innan pedagogikk.
Aalto University (Finland);Benchmark;https://www.aalto.fi/en/aalto-university/code-of-conduct;Har ein eigen «Code of Conduct for Partners» som eksterne *må* signere.
Royal College of Art (UK);Benchmark;https://www.rca.ac.uk/research-innovation/research-ethics/;Har ein dedikert «Research Ethics Policy» for industripartnerskap.
Konstfack (Sverige);Benchmark;https://www.konstfack.se/sv/Om-Konstfack/Etiskt-rad/;Har eit uavhengig Etisk råd som gir råd i alle eksterne samarbeidssaker.
